juego,concurso,fecha,bolsa,n1,n2,n3,n4,n5,n6,adicional
melate,1253,1999-12-08,22000000,5,10,17,26,38,42,8
melate,1254,1999-12-12,26000000,4,7,18,21,34,38,8
melate,1255,1999-12-15,30000000,7,9,10,12,19,25,38
melate,1256,1999-12-19,6000000,3,6,7,9,10,14,13
melate,1257,1999-12-22,8000000,6,10,18,31,34,38,37
melate,1258,1999-12-26,9000000,1,11,14,28,40,43,5
melate,1259,1999-12-29,6000000,6,7,19,29,39,40,10
melate,1260,2000-01-02,7000000,11,22,28,34,41,43,38
melate,1261,2000-01-05,9000000,6,14,34,36,37,44,35
melate,1262,2000-01-09,11000000,7,14,24,33,38,39,35
melate,1263,2000-01-12,6000000,18,23,25,36,37,43,9
melate,1264,2000-01-16,15000000,14,23,29,35,36,38,39
melate,1265,2000-01-19,17000000,16,28,30,31,34,44,27
melate,1266,2000-01-23,19000000,16,21,23,25,34,37,27
melate,1267,2000-01-26,23000000,3,11,30,31,37,40,15
melate,1268,2000-01-30,26000000,2,6,7,18,25,29,26
melate,1269,2000-02-02,30000000,1,4,10,13,26,29,34
melate,1270,2000-02-06,33000000,5,10,14,25,34,41,42
melate,1271,2000-02-09,37000000,1,10,18,25,40,44,29
melate,1272,2000-02-13,6000000,16,21,23,30,38,42,28
melate,1273,2000-02-16,6000000,5,16,18,22,26,27,37
melate,1274,2000-02-20,7000000,19,20,26,27,30,39,23
melate,1275,2000-02-23,9000000,10,25,27,34,35,42,3
melate,1276,2000-02-27,11000000,1,4,24,28,35,40,12
melate,1277,2000-03-01,13000000,9,11,17,20,28,39,38
melate,1278,2000-03-05,15000000,5,7,16,21,36,42,39
melate,1279,2000-03-08,18000000,5,7,17,27,29,34,10
melate,1280,2000-03-12,6000000,21,22,24,29,39,44,7
melate,1281,2000-03-15,8000000,4,5,17,35,40,41,25
melate,1282,2000-03-19,10000000,7,14,30,33,39,43,3
melate,1283,2000-03-22,11000000,3,27,34,35,37,38,24
melate,1284,2000-03-26,13000000,17,23,26,29,35,42,20
melate,1285,2000-03-29,6000000,7,10,16,22,37,39,40
melate,1286,2000-04-02,7000000,6,11,15,37,40,42,16
melate,1287,2000-04-05,8000000,3,18,23,33,40,42,10
melate,1288,2000-04-09,10000000,5,7,13,16,31,32,2
melate,1289,2000-04-12,12000000,22,25,26,31,32,41,40
melate,1290,2000-04-16,14000000,1,9,12,29,39,42,36
melate,1291,2000-04-19,16000000,6,8,20,23,24,25,33
melate,1292,2000-04-23,18000000,6,13,16,19,20,32,37
melate,1293,2000-04-26,20000000,11,20,30,31,32,44,37
melate,1294,2000-04-30,24000000,4,6,7,33,38,39,43
melate,1295,2000-05-03,27000000,1,4,5,10,12,42,35
melate,1296,2000-05-07,31000000,7,21,25,33,34,37,41
melate,1297,2000-05-10,6000000,6,9,14,22,24,29,4
melate,1298,2000-05-14,7000000,5,21,25,27,30,39,3
melate,1299,2000-05-17,8000000,2,11,17,24,25,26,12
melate,1300,2000-05-21,10000000,2,3,12,25,35,43,34
melate,1301,2000-05-24,12000000,1,5,18,25,32,37,26
melate,1302,2000-05-28,15000000,1,7,12,13,22,39,28
melate,1303,2000-05-31,17000000,8,10,15,16,31,35,4
melate,1304,2000-06-04,20000000,1,15,16,25,29,31,23
melate,1305,2000-06-07,23000000,1,3,8,11,15,44,36
melate,1306,2000-06-11,6000000,5,16,32,34,42,44,9
melate,1307,2000-06-14,7000000,23,25,32,33,37,38,20
melate,1308,2000-06-18,9000000,4,15,17,19,21,33,40
melate,1309,2000-06-21,11000000,3,6,14,21,27,36,33
melate,1310,2000-06-25,13000000,11,13,15,21,25,30,31
melate,1311,2000-06-28,15000000,4,8,17,19,27,39,1
melate,1312,2000-07-02,18000000,2,6,17,25,34,39,7
melate,1313,2000-07-05,20000000,2,14,28,40,41,43,17
melate,1314,2000-07-09,23000000,8,11,13,26,37,41,6
melate,1315,2000-07-12,26000000,6,17,19,23,25,43,32
melate,1316,2000-07-16,30000000,4,22,34,38,42,44,23
melate,1317,2000-07-19,34000000,7,16,24,28,31,33,18
melate,1318,2000-07-23,39000000,6,7,15,17,21,24,1
melate,1319,2000-07-26,44000000,2,4,6,32,39,40,18
melate,1320,2000-07-30,6000000,1,12,14,15,34,43,5
melate,1321,2000-08-02,7000000,9,16,18,28,30,36,2
melate,1322,2000-08-06,8000000,3,13,16,18,22,34,21
melate,1323,2000-08-09,10000000,1,7,8,14,25,44,19
melate,1324,2000-08-13,12000000,14,20,25,26,30,41,18
melate,1325,2000-08-16,15000000,3,15,33,35,40,42,20
melate,1326,2000-08-20,6000000,1,8,14,17,18,22,2
melate,1327,2000-08-23,7000000,2,8,28,31,34,39,17
melate,1328,2000-08-27,80000000,5,11,21,30,31,32,39
melate,1329,2000-08-30,10000000,3,11,14,26,31,32,8
melate,1330,2000-09-03,12000000,6,11,12,22,29,44,1
melate,1331,2000-09-06,15000000,5,12,18,23,26,39,13
melate,1332,2000-09-10,18000000,14,15,17,38,40,43,1
melate,1333,2000-09-13,21000000,16,17,20,28,29,43,22
melate,1334,2000-09-17,25000000,7,10,20,22,26,40,41
melate,1335,2000-09-20,28000000,3,6,27,32,38,40,14
melate,1336,2000-09-24,33000000,5,8,9,14,42,44,36
melate,1337,2000-09-27,38000000,9,15,31,36,39,43,6
melate,1338,2000-10-01,6000000,5,13,15,20,30,44,14
melate,1339,2000-10-04,6000000,6,7,13,27,32,40,35
melate,1340,2000-10-08,8000000,1,3,7,15,29,42,30
melate,1341,2000-10-11,10000000,2,3,8,12,17,23,28
melate,1342,2000-10-15,13000000,18,19,22,35,36,43,3
melate,1343,2000-10-18,14000000,2,18,23,26,29,32,10
melate,1344,2000-10-22,16000000,13,27,29,30,37,43,22
melate,1345,2000-10-25,19000000,8,12,16,21,34,44,6
melate,1346,2000-10-29,21000000,6,16,21,26,33,37,34
melate,1347,2000-11-01,25000000,2,13,19,24,30,37,39
melate,1348,2000-11-05,27000000,3,5,6,12,27,43,41
melate,1349,2000-11-08,31000000,2,5,13,16,19,38,34
melate,1350,2000-11-12,36000000,6,17,22,25,29,40,27
melate,1351,2000-11-15,6000000,13,32,33,36,39,40,15
melate,1352,2000-11-19,7000000,18,21,25,28,33,35,30
melate,1353,2000-11-22,8000000,4,11,18,22,28,30,21
melate,1354,2000-11-26,9000000,12,14,17,28,31,34,32
melate,1355,2000-11-29,6000000,5,18,25,36,42,44,3
melate,1356,2000-12-03,7000000,5,17,23,25,38,40,20
melate,1357,2000-12-06,8000000,1,4,11,13,16,20,36
melate,1358,2000-12-10,6000000,21,24,26,34,38,44,39
melate,1359,2000-12-13,7000000,8,24,29,32,33,44,18
melate,1360,2000-12-17,8000000,3,15,25,30,36,39,34
melate,1361,2000-12-20,9000000,2,3,7,31,32,38,36
melate,1362,2000-12-24,11000000,2,11,14,21,29,30,1
melate,1363,2000-12-27,13000000,1,9,23,25,32,44,17
melate,1364,2000-12-31,16000000,8,15,17,28,30,42,37
melate,1365,2001-01-03,19000000,4,24,26,28,38,42,44
melate,1366,2001-01-07,21000000,2,3,15,26,34,42,9
melate,1367,2001-01-10,25000000,5,7,25,26,30,39,24
melate,1368,2001-01-14,29000000,18,22,26,30,33,34,37
melate,1369,2001-01-17,6000000,13,14,16,20,37,41,34
melate,1370,2001-01-21,7000000,13,14,17,28,30,31,2
melate,1371,2001-01-24,8000000,8,9,24,27,35,42,31
melate,1372,2001-01-28,10000000,6,9,15,18,24,25,1
melate,1373,2001-01-31,12000000,7,14,25,36,41,43,1
melate,1374,2001-02-04,15000000,10,14,17,28,33,35,18
melate,1375,2001-02-07,18000000,1,6,10,31,37,38,4
melate,1376,2001-02-11,21000000,6,7,19,25,30,33,44
melate,1377,2001-02-14,24000000,6,8,9,26,37,43,23
melate,1378,2001-02-18,6000000,6,23,25,26,30,36,31
melate,1379,2001-02-21,7000000,18,20,28,31,38,44,40
melate,1380,2001-02-25,8000000,7,11,31,35,38,40,41
melate,1381,2001-02-28,10000000,4,10,16,18,20,37,3
melate,1382,2001-03-04,12000000,3,5,6,13,37,42,38
melate,1383,2001-03-07,14000000,11,18,28,30,31,34,15
melate,1384,2001-03-11,17000000,10,21,24,25,37,41,12
melate,1385,2001-03-14,20000000,2,3,8,14,31,39,9
melate,1386,2001-03-18,23000000,1,5,8,15,31,32,14
melate,1387,2001-03-21,26000000,10,33,37,40,42,43,44
melate,1388,2001-03-25,30000000,3,12,13,26,32,41,10
melate,1389,2001-03-28,33000000,12,17,24,28,35,39,16
melate,1390,2001-04-01,37000000,9,12,16,20,25,26,43
melate,1391,2001-04-04,42000000,5,14,15,18,33,36,2
melate,1392,2001-04-08,52000000,3,6,9,12,24,26,34
melate,1393,2001-04-11,6000000,1,4,8,9,35,44,24
melate,1394,2001-04-15,7000000,6,15,18,22,25,32,9
melate,1395,2001-04-18,6000000,1,5,19,31,34,39,27
melate,1396,2001-04-22,7000000,6,10,20,22,23,24,15
melate,1397,2001-04-25,8000000,3,15,21,28,36,37,7
melate,1398,2001-04-29,6000000,3,7,15,22,34,42,33
melate,1399,2001-05-02,6000000,9,12,13,34,35,41,1
melate,1400,2001-05-06,7000000,1,7,13,14,27,35,34
melate,1401,2001-05-09,8000000,10,22,24,25,37,43,31
melate,1402,2001-05-13,10000000,28,30,36,39,41,43,27
melate,1403,2001-05-16,13000000,3,9,19,23,32,39,8
melate,1404,2001-05-20,16000000,3,19,26,30,39,43,22
melate,1405,2001-05-23,19000000,2,17,19,21,33,35,28
melate,1406,2001-05-27,23000000,4,5,6,18,33,36,25
melate,1407,2001-05-30,26500000,2,7,13,23,34,37,27
melate,1408,2001-06-03,32000000,10,13,26,30,34,42,27
melate,1409,2001-06-06,37000000,3,16,17,33,35,40,37
melate,1410,2001-06-10,6000000,2,9,18,20,38,43,16
melate,1411,2001-06-13,7000000,9,13,26,30,32,44,19
melate,1412,2001-06-17,9000000,6,14,17,32,38,42,10
melate,1413,2001-06-20,12000000,7,8,15,16,18,43,36
melate,1414,2001-06-24,16000000,7,12,13,14,15,35,19
melate,1415,2001-06-27,20000000,3,12,13,19,27,38,23
melate,1416,2001-07-01,24000000,11,18,27,30,34,40,21
melate,1417,2001-07-04,29000000,2,10,13,18,29,36,15
melate,1418,2001-07-08,36000000,4,20,22,32,33,42,17
melate,1419,2001-07-11,43000000,3,18,23,27,34,37,44
melate,1420,2001-07-15,50000000,1,3,14,15,16,27,12
melate,1421,2001-07-18,60000000,4,10,16,25,31,35,32
melate,1422,2001-07-22,6000000,13,20,25,34,38,40,44
melate,1423,2001-07-25,7000000,10,17,21,25,35,44,31
melate,1424,2001-07-29,8000000,6,12,13,19,20,22,26
melate,1425,2001-08-01,10000000,6,10,11,33,35,36,39
melate,1426,2001-08-05,13000000,1,19,22,25,27,35,30
melate,1427,2001-08-08,16000000,12,15,23,26,32,33,31
melate,1428,2001-08-12,19000000,10,15,25,34,39,40,22
melate,1429,2001-08-15,22000000,2,17,23,29,38,39,11
melate,1430,2001-08-19,26000000,11,35,36,37,39,43,10
melate,1431,2001-08-22,29000000,5,7,18,19,22,30,27
melate,1432,2001-08-26,32000000,10,18,26,28,38,42,13
melate,1433,2001-08-29,35000000,9,24,27,28,34,36,39
melate,1434,2001-09-02,39000000,3,21,22,24,37,40,7
melate,1435,2001-09-05,43000000,3,9,11,20,21,26,5
melate,1436,2001-09-09,47000000,11,12,14,23,31,43,16
melate,1437,2001-09-12,6000000,5,15,16,18,32,33,20
melate,1438,2001-09-16,7000000,15,19,23,25,27,34,21
melate,1439,2001-09-19,8000000,2,4,18,28,40,42,25
melate,1440,2001-09-23,10000000,1,14,16,21,31,35,32
melate,1441,2001-09-26,13000000,8,16,18,21,32,43,34
melate,1442,2001-09-30,15000000,1,15,20,25,26,33,18
melate,1443,2001-10-03,18000000,8,23,27,32,33,44,41
melate,1444,2001-10-07,21000000,20,27,28,29,36,41,37
melate,1445,2001-10-10,24000000,8,17,19,29,31,43,22
melate,1446,2001-10-14,27000000,2,14,21,26,37,43,32
melate,1447,2001-10-17,6000000,1,5,14,16,20,33,40
melate,1448,2001-10-21,6000000,1,5,13,29,42,44,23
melate,1449,2001-10-24,7000000,17,19,22,23,38,41,33
melate,1450,2001-10-28,8000000,4,15,16,26,37,38,27
melate,1451,2001-10-31,9000000,2,3,10,24,26,36,27
melate,1452,2001-11-04,11000000,4,13,17,26,33,39,12
melate,1453,2001-11-07,14000000,9,13,14,22,23,40,3
melate,1454,2001-11-11,17000000,3,13,14,18,26,42,41
melate,1455,2001-11-14,20000000,2,10,14,23,41,43,13
melate,1456,2001-11-18,24000000,20,22,32,33,35,44,21
melate,1457,2001-11-21,26000000,8,15,19,25,33,36,34
melate,1458,2001-11-25,29000000,2,12,13,27,28,40,44
melate,1459,2001-11-28,32000000,18,19,30,31,32,43,3
melate,1460,2001-12-02,37000000,22,26,32,34,36,43,42
melate,1461,2001-12-05,41000000,7,8,9,12,22,37,16
melate,1462,2001-12-09,45000000,1,4,11,17,22,33,44
melate,1463,2001-12-12,6000000,10,22,30,36,40,44,15
melate,1464,2001-12-16,7000000,5,10,20,32,37,39,27
melate,1465,2001-12-19,8000000,2,11,14,21,32,44,30
melate,1466,2001-12-23,10000000,5,6,18,24,30,35,7
melate,1467,2001-12-26,12000000,22,27,32,35,43,44,16
melate,1468,2001-12-30,16000000,2,15,34,37,38,39,26
melate,1469,2002-01-02,19000000,4,13,14,15,29,40,32
melate,1470,2002-01-06,22000000,2,3,8,12,27,31,18
melate,1471,2002-01-09,25000000,4,12,14,15,23,43,13
melate,1472,2002-01-13,29000000,4,7,14,16,30,37,34
melate,1473,2002-01-16,33000000,2,14,16,23,37,39,19
melate,1474,2002-01-20,37000000,2,3,8,16,28,31,15
melate,1475,2002-01-23,41000000,14,17,18,24,32,42,12
melate,1476,2002-01-27,6000000,2,4,11,14,33,38,16
melate,1477,2002-01-30,7000000,5,15,21,22,29,34,28
melate,1478,2002-02-03,8000000,15,18,25,28,30,44,38
melate,1479,2002-02-06,10000000,4,8,25,27,37,38,15
melate,1480,2002-02-10,13000000,1,14,17,25,32,40,16
melate,1481,2002-02-13,16000000,1,3,13,23,29,40,15
melate,1482,2002-02-17,19000000,4,5,6,8,12,24,39
melate,1483,2002-02-20,22000000,4,7,33,35,40,42,2
melate,1484,2002-02-24,25000000,5,14,23,29,30,38,22
melate,1485,2002-02-27,28000000,8,11,17,33,39,43,23
melate,1486,2002-03-03,6000000,7,11,19,28,39,40,31
melate,1487,2002-03-06,7000000,7,11,26,32,41,42,20
melate,1488,2002-03-10,6000000,6,8,11,27,35,38,2
melate,1489,2002-03-13,8000000,2,8,9,24,25,34,42
melate,1490,2002-03-17,9000000,5,8,13,37,39,44,20
melate,1491,2002-03-20,6000000,7,8,17,23,40,43,1
melate,1492,2002-03-24,7000000,9,19,20,21,28,43,1
melate,1493,2002-03-27,8000000,9,14,20,31,35,38,17
melate,1494,2002-03-31,9000000,5,21,29,34,36,42,27
melate,1495,2002-04-03,11000000,8,11,21,23,26,40,28
melate,1496,2002-04-07,13000000,2,5,17,21,33,40,30
melate,1497,2002-04-10,6000000,5,15,16,17,21,22,25
melate,1498,2002-04-14,6000000,5,6,9,12,35,37,11
melate,1499,2002-04-17,7000000,3,11,15,31,34,42,2
melate,1500,2002-04-21,8000000,1,9,19,25,29,42,8
melate,1501,2002-04-24,10000000,6,10,14,15,19,40,2
melate,1502,2002-04-28,12000000,2,3,17,32,38,42,7
melate,1503,2002-05-01,14000000,2,15,26,34,36,41,4
melate,1504,2002-05-05,16000000,25,36,37,39,43,44,16
melate,1505,2002-05-08,6000000,9,20,22,37,39,41,40
melate,1506,2002-05-12,7000000,5,6,7,11,32,33,36
melate,1507,2002-05-15,8000000,9,21,25,34,38,42,27
melate,1508,2002-05-19,6000000,13,16,24,36,39,41,10
melate,1509,2002-05-22,7000000,7,8,25,28,30,44,12
melate,1510,2002-05-26,8000000,4,21,24,30,39,41,32
melate,1511,2002-05-29,9000000,4,6,16,19,26,32,20
melate,1512,2002-06-02,10000000,1,6,15,25,28,32,17
melate,1513,2002-06-05,12000000,10,16,29,31,35,36,13
melate,1514,2002-06-09,14000000,23,25,32,34,37,43,31
melate,1515,2002-06-12,16000000,4,13,14,17,21,35,19
melate,1516,2002-06-16,18000000,6,14,25,31,35,42,34
melate,1517,2002-06-19,21000000,1,6,9,24,31,43,16
melate,1518,2002-06-23,24000000,14,18,25,31,40,41,15
melate,1519,2002-06-26,27000000,17,18,31,38,43,44,37
melate,1520,2002-06-30,31000000,10,18,24,26,28,39,22
melate,1521,2002-07-03,35000000,3,4,20,28,34,35,1
melate,1522,2002-07-07,37000000,13,20,28,34,35,39,30
melate,1523,2002-07-10,43000000,3,11,12,22,29,40,4
melate,1524,2002-07-14,51000000,2,5,12,20,23,27,14
melate,1525,2002-07-17,6000000,2,4,11,26,29,30,20
melate,1526,2002-07-21,7000000,5,20,36,37,38,43,13
melate,1527,2002-07-24,8000000,11,22,25,35,38,42,28
melate,1528,2002-07-28,10000000,2,10,11,25,31,33,4
melate,1529,2002-07-31,6000000,1,8,16,20,23,38,39
melate,1530,2002-08-04,7000000,7,15,20,25,30,38,27
melate,1531,2002-08-07,8000000,12,17,21,22,32,36,40
melate,1532,2002-08-11,10000000,2,7,11,26,29,41,4
melate,1533,2002-08-14,13000000,7,9,10,20,22,40,8
melate,1534,2002-08-18,16000000,2,15,26,27,42,44,35
melate,1535,2002-08-21,19000000,1,8,9,33,38,39,5
melate,1536,2002-08-25,23000000,9,30,31,35,39,44,4
melate,1537,2002-08-28,6000000,9,14,17,23,34,36,16
melate,1538,2002-09-01,7000000,1,13,14,27,33,44,24
melate,1539,2002-09-04,8000000,2,19,36,38,40,44,3
melate,1540,2002-09-08,10000000,10,11,22,28,35,41,33
melate,1541,2002-09-11,13000000,6,7,18,27,37,41,43
melate,1542,2002-09-15,16000000,3,12,16,18,42,44,24
melate,1543,2002-09-18,6000000,27,35,38,39,41,42,26
melate,1544,2002-09-22,7000000,16,19,20,25,28,40,38
melate,1545,2002-09-25,8000000,14,21,23,25,37,43,18
melate,1546,2002-09-29,6000000,1,8,9,13,18,32,4
melate,1547,2002-10-02,6000000,4,15,18,25,35,39,5
melate,1548,2002-10-06,8000000,9,13,14,25,41,47,16
melate,1549,2002-10-09,9000000,11,22,24,25,42,43,23
melate,1550,2002-10-13,12000000,1,2,5,20,21,23,36
melate,1551,2002-10-16,16000000,11,26,27,34,44,46,8
melate,1552,2002-10-20,20000000,6,16,26,30,37,43,10
melate,1553,2002-10-23,26000000,10,15,22,30,34,40,39
melate,1554,2002-10-27,30000000,11,12,24,31,36,39,5
melate,1555,2002-10-30,36000000,7,16,22,24,27,33,45
melate,1556,2002-11-03,8000000,13,16,28,38,40,43,44
melate,1557,2002-11-06,9000000,4,8,14,17,35,44,5
melate,1558,2002-11-10,11000000,1,7,10,18,21,28,30
melate,1559,2002-11-13,15000000,7,18,26,27,33,43,6
melate,1560,2002-11-17,19000000,10,14,19,28,29,34,26
melate,1561,2002-11-20,23000000,1,8,25,30,45,46,12
melate,1562,2002-11-24,28000000,3,4,18,33,42,44,22
melate,1563,2002-11-27,8000000,6,12,17,32,41,47,43
melate,1564,2002-12-01,9000000,2,9,28,39,40,42,32
melate,1565,2002-12-04,12000000,1,7,14,16,17,22,28
melate,1566,2002-12-08,17000000,4,25,28,37,40,41,19
melate,1567,2002-12-11,20000000,3,16,21,29,30,35,44
melate,1568,2002-12-15,23000000,1,5,11,23,27,32,9
melate,1569,2002-12-18,26000000,7,8,31,32,41,42,2
melate,1570,2002-12-22,30000000,1,6,10,22,26,33,31
melate,1571,2002-12-25,33000000,7,32,34,35,45,46,2
melate,1572,2002-12-29,37000000,7,9,12,14,20,27,46
melate,1573,2003-01-01,8000000,12,13,17,21,37,39,14
melate,1574,2003-01-05,9000000,9,12,28,29,35,39,44
melate,1575,2003-01-08,10000000,3,13,17,29,32,37,12
melate,1576,2003-01-12,12000000,19,26,27,29,34,43,38
melate,1577,2003-01-15,15000000,5,13,20,26,28,40,43
melate,1578,2003-01-19,18000000,12,15,29,34,42,47,18
melate,1579,2003-01-22,21000000,5,19,20,24,39,47,38
melate,1580,2003-01-26,24000000,9,11,14,27,34,47,43
melate,1581,2003-01-29,8000000,16,17,30,35,37,39,14
melate,1582,2003-02-02,9000000,7,23,24,27,34,39,12
melate,1583,2003-02-05,10000000,7,9,29,31,39,42,3
melate,1584,2003-02-09,12000000,1,3,9,10,22,38,14
melate,1585,2003-02-12,14000000,22,24,25,27,43,44,3
melate,1586,2003-02-16,17000000,6,7,19,22,24,41,26
melate,1587,2003-02-19,20000000,21,22,33,36,40,44,25
melate,1588,2003-02-23,23000000,10,17,20,33,41,42,19
melate,1589,2003-02-26,26000000,11,18,22,23,36,47,19
melate,1590,2003-03-02,29000000,1,3,17,24,28,33,8
melate,1591,2003-03-05,32000000,9,16,35,40,42,44,11
melate,1592,2003-03-09,35000000,9,13,15,18,32,33,30
melate,1593,2003-03-12,38000000,14,16,20,31,41,45,42
melate,1594,2003-03-16,41000000,4,7,27,30,32,33,14
melate,1595,2003-03-19,45000000,4,14,17,25,34,38,23
melate,1596,2003-03-23,50000000,2,6,12,25,35,39,43
melate,1597,2003-03-26,55000000,3,4,6,33,34,37,9
melate,1598,2003-03-30,8000000,2,11,20,27,32,36,24
melate,1599,2003-04-02,9000000,5,6,24,29,32,35,45
melate,1600,2003-04-06,10000000,2,7,14,16,33,42,10
melate,1601,2003-04-09,12000000,7,27,35,38,39,42,31
melate,1602,2003-04-13,15000000,1,4,12,23,28,29,22
melate,1603,2003-04-16,18000000,3,9,17,21,36,43,34
melate,1604,2003-04-20,8000000,18,20,27,36,42,44,9
melate,1605,2003-04-23,9000000,11,13,33,36,38,39,25
melate,1606,2003-04-27,10000000,10,13,18,26,30,39,15
melate,1607,2003-04-30,12000000,3,13,24,28,30,46,43
melate,1608,2003-05-04,15000000,13,27,32,33,41,46,16
melate,1609,2003-05-07,18000000,1,9,23,28,38,47,17
melate,1610,2003-05-11,21000000,4,10,14,15,26,27,11
melate,1611,2003-05-14,24000000,5,12,15,19,28,38,40
melate,1612,2003-05-18,27000000,27,28,29,30,42,46,1
melate,1613,2003-05-21,30000000,2,10,19,24,27,31,1
melate,1614,2003-05-25,8000000,7,8,18,24,28,40,34
melate,1615,2003-05-28,9000000,10,11,30,31,32,44,21
melate,1616,2003-06-01,10000000,8,14,15,18,19,45,27
melate,1617,2003-06-04,11000000,1,4,14,15,30,33,18
melate,1618,2003-06-08,8000000,1,12,22,31,41,45,40
melate,1619,2003-06-11,9000000,2,3,11,32,41,47,45
melate,1620,2003-06-15,10000000,6,8,24,41,43,45,28
melate,1621,2003-06-18,12000000,4,10,27,32,37,41,42
melate,1622,2003-06-22,8000000,23,25,32,34,38,44,16
melate,1623,2003-06-25,9000000,3,7,13,18,22,34,11
melate,1624,2003-06-29,8000000,10,14,18,20,22,27,29
melate,1625,2003-07-02,8000000,11,17,22,28,42,46,44
melate,1626,2003-07-06,9000000,8,10,12,26,28,39,6
melate,1627,2003-07-09,10000000,11,13,26,30,32,42,29
melate,1628,2003-07-13,11000000,8,9,21,24,37,38,16
melate,1629,2003-07-16,13000000,13,17,27,34,37,46,29
melate,1630,2003-07-20,16000000,13,17,23,35,39,46,31
melate,1631,2003-07-23,19000000,11,12,17,20,33,45,3
melate,1632,2003-07-27,22000000,16,17,21,31,41,46,30
melate,1633,2003-07-30,25000000,5,8,16,27,31,33,19
melate,1634,2003-08-03,8000000,1,9,22,36,38,43,39
melate,1635,2003-08-06,9000000,5,7,8,24,34,42,36
melate,1636,2003-08-10,10000000,4,8,14,24,34,47,6
melate,1637,2003-08-13,11000000,13,16,26,32,41,43,4
melate,1638,2003-08-17,14000000,5,6,17,30,34,41,33
melate,1639,2003-08-20,17000000,1,9,21,35,44,45,37
melate,1640,2003-08-24,20000000,1,8,24,40,45,47,19
melate,1641,2003-08-27,24000000,7,9,16,33,43,45,38
melate,1642,2003-08-31,8000000,4,28,32,39,40,45,13
melate,1643,2003-09-03,9000000,7,19,24,28,29,41,32
melate,1644,2003-09-07,8000000,3,4,8,27,31,33,25
melate,1645,2003-09-10,9000000,11,17,18,20,37,45,38
melate,1646,2003-09-14,10000000,3,11,29,41,42,44,35
melate,1647,2003-09-17,12000000,4,19,24,25,40,44,20
melate,1648,2003-09-21,16000000,11,13,14,29,43,44,18
melate,1649,2003-09-24,18000000,3,18,30,36,43,47,33
melate,1650,2003-09-28,22000000,18,23,36,39,40,47,17
melate,1651,2003-10-01,25000000,2,3,9,19,22,41,16
melate,1652,2003-10-05,28000000,1,5,17,18,20,47,36
melate,1653,2003-10-08,31000000,6,16,31,36,41,46,9
melate,1654,2003-10-12,36000000,7,8,9,23,43,47,19
melate,1655,2003-10-15,40000000,1,12,19,32,35,40,22
melate,1656,2003-10-19,46000000,5,13,19,27,42,47,24
melate,1657,2003-10-22,53000000,3,7,8,16,30,44,25
melate,1658,2003-10-26,60000000,24,30,31,34,42,45,21
melate,1659,2003-10-29,68000000,10,33,34,36,42,46,11
melate,1660,2003-11-02,75000000,1,4,10,11,42,44,6
melate,1661,2003-11-05,82000000,3,16,35,42,43,44,34
melate,1662,2003-11-09,94000000,4,16,22,28,31,36,15
melate,1663,2003-11-12,8000000,6,9,38,40,42,43,36
melate,1664,2003-11-16,9000000,2,19,24,31,36,42,4
melate,1665,2003-11-19,10000000,23,29,42,44,45,47,9
melate,1666,2003-11-23,14000000,1,5,8,12,24,43,31
melate,1667,2003-11-26,18000000,7,17,33,41,43,44,9
melate,1668,2003-11-30,25000000,4,14,16,22,29,33,10
melate,1669,2003-12-03,24000000,1,2,11,15,17,31,46
melate,1670,2003-12-07,28000000,5,11,18,25,28,47,13
melate,1671,2003-12-10,32000000,4,9,12,17,19,36,33
melate,1672,2003-12-14,36000000,4,11,12,18,36,47,27
melate,1673,2003-12-17,40000000,5,8,10,25,27,39,45
melate,1674,2003-12-21,44000000,7,12,25,36,45,46,15
melate,1675,2003-12-24,48000000,6,7,20,38,41,47,29
melate,1676,2003-12-28,53000000,16,23,24,25,32,37,1
melate,1677,2003-12-31,58000000,3,8,26,33,38,45,37
melate,1678,2004-01-04,63000000,14,17,22,29,31,47,19
melate,1679,2004-01-07,68000000,5,7,8,9,14,27,6
melate,1680,2004-01-11,8000000,5,9,24,28,37,45,19
melate,1681,2004-01-14,9000000,5,36,37,39,40,47,15
melate,1682,2004-01-18,10000000,3,5,23,26,35,36,2
melate,1683,2004-01-21,8000000,4,25,26,32,41,45,23
melate,1684,2004-01-25,9000000,5,15,16,17,25,42,9
melate,1685,2004-01-28,10000000,5,15,17,24,28,31,19
melate,1686,2004-02-01,13000000,14,19,24,29,36,40,17
melate,1687,2004-02-04,16000000,6,18,21,28,31,32,33
melate,1688,2004-02-08,19000000,12,16,21,24,38,46,13
melate,1689,2004-02-11,23000000,8,10,14,29,35,46,38
melate,1690,2004-02-15,26000000,13,15,17,18,27,40,26
melate,1691,2004-02-18,30000000,5,16,25,26,27,29,12
melate,1692,2004-02-22,8000000,22,27,32,40,43,46,9
melate,1693,2004-02-25,9000000,5,9,12,31,34,44,36
melate,1694,2004-02-29,10000000,2,4,14,29,40,42,11
melate,1695,2004-03-03,12000000,8,29,32,36,37,39,12
melate,1696,2004-03-07,15000000,2,4,18,25,37,43,36
melate,1697,2004-03-10,19000000,3,7,30,36,38,45,37
melate,1698,2004-03-14,22000000,12,21,22,26,37,47,8
melate,1699,2004-03-17,25000000,10,17,30,34,36,40,4
melate,1700,2004-03-21,29000000,5,6,7,25,32,40,16
melate,1701,2004-03-24,33000000,6,9,23,28,30,35,12
melate,1702,2004-03-28,37000000,10,16,23,32,33,39,19
